uniq_isos	iso_ensts	iso_ensgs	iso_ensgvs	iso_gnames	iso_descs	filtered	regulator
ABCB7	ABCB7	ENSG00000131269	ABCB7	ABCB7	gene	0	0
ABCB8	ABCB8	ENSG00000197150	ABCB8	ABCB8	gene	0	0
ABCB9	ABCB9	ENSG00000150967	ABCB9	ABCB9	gene	0	0
ABCC1	ABCC1	ENSG00000278183	ABCC1	ABCC1	gene	0	0
ABCC10	ABCC10	ENSG00000124574	ABCC10	ABCC10	gene	0	0
ABCC11	ABCC11	ENSG00000121270	ABCC11	ABCC11	gene	0	0
ABCC12	ABCC12	ENSG00000140798	ABCC12	ABCC12	gene	0	0
ABCC2	ABCC2	ENSG00000023839	ABCC2	ABCC2	gene	0	0
ABCC3	ABCC3	ENSG00000108846	ABCC3	ABCC3	gene	0	0
ABCC4	ABCC4	ENSG00000125257	ABCC4	ABCC4	gene	0	0
ABCC5	ABCC5	ENSG00000114770	ABCC5	ABCC5	gene	0	0
ABCC6	ABCC6	ENSG00000275331	ABCC6	ABCC6	gene	0	0
ABCC8	ABCC8	ENSG00000006071	ABCC8	ABCC8	gene	0	0
ABCC9	ABCC9	ENSG00000069431	ABCC9	ABCC9	gene	0	0
ABCD1	ABCD1	ENSG00000101986	ABCD1	ABCD1	gene	0	0
ABCD2	ABCD2	ENSG00000173208	ABCD2	ABCD2	gene	0	0
ABCD3	ABCD3	ENSG00000117528	ABCD3	ABCD3	gene	0	0
ABCD4	ABCD4	ENSG00000119688	ABCD4	ABCD4	gene	0	0
ABCE1	ABCE1	ENSG00000164163	ABCE1	ABCE1	gene	0	0
ABCF1	ABCF1	ENSG00000236342	ABCF1	ABCF1	gene	0	0
ABCF2	ABCF2	ENSG00000033050	ABCF2	ABCF2	gene	0	0
ABCF3	ABCF3	ENSG00000161204	ABCF3	ABCF3	gene	0	0
ABCG1	ABCG1	ENSG00000160179	ABCG1	ABCG1	gene	0	0
ABCG2	ABCG2	ENSG00000118777	ABCG2	ABCG2	gene	0	0
ABCG4	ABCG4	ENSG00000172350	ABCG4	ABCG4	gene	0	0
ABCG5	ABCG5	ENSG00000138075	ABCG5	ABCG5	gene	0	0
ABCG8	ABCG8	ENSG00000143921	ABCG8	ABCG8	gene	0	0
ABHD1	ABHD1	ENSG00000143994	ABHD1	ABHD1	gene	0	0
ABHD10	ABHD10	ENSG00000144827	ABHD10	ABHD10	gene	0	0
ABHD11	ABHD11	ENSG00000106077	ABHD11	ABHD11	gene	0	0
ABHD11-AS1	ABHD11-AS1	ENSG00000225969	ABHD11-AS1	ABHD11-AS1	gene	0	0
ABHD12	ABHD12	ENSG00000100997	ABHD12	ABHD12	gene	0	0
ABHD12B	ABHD12B	ENSG00000131969	ABHD12B	ABHD12B	gene	0	0
ABHD13	ABHD13	ENSG00000139826	ABHD13	ABHD13	gene	0	0
ABHD14A	ABHD14A	ENSG00000248487	ABHD14A	ABHD14A	gene	0	0
ABHD14A-ACY1	ABHD14A-ACY1	ENSG00000114786	ABHD14A-ACY1	ABHD14A-ACY1	gene	0	0
ABHD14B	ABHD14B	ENSG00000114779	ABHD14B	ABHD14B	gene	0	0
ABHD15	ABHD15	ENSG00000168792	ABHD15	ABHD15	gene	0	0
ABHD16A	ABHD16A	ENSG00000236063	ABHD16A	ABHD16A	gene	0	0
ABHD16B	ABHD16B	ENSG00000183260	ABHD16B	ABHD16B	gene	0	0
ABHD2	ABHD2	ENSG00000140526	ABHD2	ABHD2	gene	0	0
ABHD3	ABHD3	ENSG00000158201	ABHD3	ABHD3	gene	0	0
ABHD4	ABHD4	ENSG00000100439	ABHD4	ABHD4	gene	0	0
ABHD5	ABHD5	ENSG00000011198	ABHD5	ABHD5	gene	0	0
ABHD6	ABHD6	ENSG00000163686	ABHD6	ABHD6	gene	0	0
ABHD8	ABHD8	ENSG00000127220	ABHD8	ABHD8	gene	0	0
ABI1	ABI1	ENSG00000136754	ABI1	ABI1	gene	0	0
ABI2	ABI2	ENSG00000138443	ABI2	ABI2	gene	0	0
ABI3	ABI3	ENSG00000108798	ABI3	ABI3	gene	0	0
ABI3BP	ABI3BP	ENSG00000154175	ABI3BP	ABI3BP	gene	0	0
ABL1	ABL1	ENSG00000097007	ABL1	ABL1	gene	0	0
ABL2	ABL2	ENSG00000143322	ABL2	ABL2	gene	0	0
ABLIM1	ABLIM1	ENSG00000099204	ABLIM1	ABLIM1	gene	0	0
ABLIM2	ABLIM2	ENSG00000163995	ABLIM2	ABLIM2	gene	0	0
ABLIM3	ABLIM3	ENSG00000173210	ABLIM3	ABLIM3	gene	0	0
ABO	ABO	ENSG00000281879	ABO	ABO	gene	0	0
ABP1	ABP1	unmapped-none	ABP1	ABP1	gene	0	0
ABR	ABR	ENSG00000278741	ABR	ABR	gene	0	0
ABRA	ABRA	ENSG00000174429	ABRA	ABRA	gene	0	0
ABT1	ABT1	ENSG00000146109	ABT1	ABT1	gene	0	0
ABTB1	ABTB1	ENSG00000114626	ABTB1	ABTB1	gene	0	0
ABTB2	ABTB2	ENSG00000166016	ABTB2	ABTB2	gene	0	0
ACAA1	ACAA1	ENSG00000060971	ACAA1	ACAA1	gene	0	0
ACAA2	ACAA2	ENSG00000167315	ACAA2	ACAA2	gene	0	0
ACACA	ACACA	ENSG00000278540	ACACA	ACACA	gene	0	0
ACACB	ACACB	ENSG00000076555	ACACB	ACACB	gene	0	0
ACAD10	ACAD10	ENSG00000111271	ACAD10	ACAD10	gene	0	0
ACAD11	ACAD11	ENSG00000240303	ACAD11	ACAD11	gene	0	0
ACAD8	ACAD8	ENSG00000151498	ACAD8	ACAD8	gene	0	0
ACAD9	ACAD9	ENSG00000177646	ACAD9	ACAD9	gene	0	0
ACADL	ACADL	ENSG00000115361	ACADL	ACADL	gene	0	0
ACADM	ACADM	ENSG00000117054	ACADM	ACADM	gene	0	0
ACADS	ACADS	ENSG00000122971	ACADS	ACADS	gene	0	0
ACADSB	ACADSB	ENSG00000196177	ACADSB	ACADSB	gene	0	0
ACADVL	ACADVL	ENSG00000072778	ACADVL	ACADVL	gene	0	0
ACAN	ACAN	ENSG00000157766	ACAN	ACAN	gene	0	0
ACAP1	ACAP1	ENSG00000072818	ACAP1	ACAP1	gene	0	0
ACAP2	ACAP2	ENSG00000114331	ACAP2	ACAP2	gene	0	0
ACAP3	ACAP3	ENSG00000131584	ACAP3	ACAP3	gene	0	0
ACAT1	ACAT1	ENSG00000075239	ACAT1	ACAT1	gene	0	0
ACAT2	ACAT2	ENSG00000120437	ACAT2	ACAT2	gene	0	0
ACBD3	ACBD3	ENSG00000182827	ACBD3	ACBD3	gene	0	0
ACBD4	ACBD4	ENSG00000181513	ACBD4	ACBD4	gene	0	0
ACBD5	ACBD5	ENSG00000107897	ACBD5	ACBD5	gene	0	0
ACBD6	ACBD6	ENSG00000230124	ACBD6	ACBD6	gene	0	0
ACBD7	ACBD7	ENSG00000176244	ACBD7	ACBD7	gene	0	0
ACCN1	ACCN1	unmapped-none	ACCN1	ACCN1	gene	0	0
ACCN2	ACCN2	unmapped-none	ACCN2	ACCN2	gene	0	0
ACCN3	ACCN3	ENSG00000213199	ACCN3	ACCN3	gene	0	0
ACCN4	ACCN4	unmapped-none	ACCN4	ACCN4	gene	0	0
ACCN5	ACCN5	unmapped-none	ACCN5	ACCN5	gene	0	0
ACCS	ACCS	ENSG00000110455	ACCS	ACCS	gene	0	0
ACCSL	ACCSL	ENSG00000205126	ACCSL	ACCSL	gene	0	0
ACD	ACD	ENSG00000102977	ACD	ACD	gene	0	0
ACE	ACE	ENSG00000159640	ACE	ACE	gene	0	0
ACE2	ACE2	ENSG00000130234	ACE2	ACE2	gene	0	0
ACER1	ACER1	ENSG00000167769	ACER1	ACER1	gene	0	0
ACER2	ACER2	ENSG00000177076	ACER2	ACER2	gene	0	0
ACER3	ACER3	ENSG00000078124	ACER3	ACER3	gene	0	0
ACHE	ACHE	ENSG00000087085	ACHE	ACHE	gene	0	0
ACIN1	ACIN1	ENSG00000100813	ACIN1	ACIN1	gene	0	0
ACLY	ACLY	ENSG00000131473	ACLY	ACLY	gene	0	0
ACMSD	ACMSD	ENSG00000153086	ACMSD	ACMSD	gene	0	0
ACN9	ACN9	unmapped-none	ACN9	ACN9	gene	0	0
ACO1	ACO1	ENSG00000122729	ACO1	ACO1	gene	0	0
ACO2	ACO2	ENSG00000100412	ACO2	ACO2	gene	0	0
ACOT1	ACOT1	ENSG00000184227	ACOT1	ACOT1	gene	0	0
ACOT11	ACOT11	ENSG00000162390	ACOT11	ACOT11	gene	0	0
ACOT12	ACOT12	ENSG00000172497	ACOT12	ACOT12	gene	0	0
ACOT13	ACOT13	ENSG00000112304	ACOT13	ACOT13	gene	0	0
ACOT2	ACOT2	ENSG00000119673	ACOT2	ACOT2	gene	0	0
ACOT4	ACOT4	ENSG00000177465	ACOT4	ACOT4	gene	0	0
ACOT6	ACOT6	ENSG00000205669	ACOT6	ACOT6	gene	0	0
ACOT7	ACOT7	ENSG00000097021	ACOT7	ACOT7	gene	0	0
ACOT8	ACOT8	ENSG00000101473	ACOT8	ACOT8	gene	0	0
ACOT9	ACOT9	ENSG00000123130	ACOT9	ACOT9	gene	0	0
ACOX1	ACOX1	ENSG00000161533	ACOX1	ACOX1	gene	0	0
ACOX2	ACOX2	ENSG00000168306	ACOX2	ACOX2	gene	0	0
ACOX3	ACOX3	ENSG00000087008	ACOX3	ACOX3	gene	0	0
ACOXL	ACOXL	ENSG00000153093	ACOXL	ACOXL	gene	0	0
ACP1	ACP1	ENSG00000143727	ACP1	ACP1	gene	0	0
ACP2	ACP2	ENSG00000134575	ACP2	ACP2	gene	0	0
ACP5	ACP5	ENSG00000102575	ACP5	ACP5	gene	0	0
ACP6	ACP6	ENSG00000162836	ACP6	ACP6	gene	0	0
ACPL2	ACPL2	unmapped-none	ACPL2	ACPL2	gene	0	0
ACPP	ACPP	ENSG00000014257	ACPP	ACPP	gene	0	0
ACPT	ACPT	ENSG00000142513	ACPT	ACPT	gene	0	0
ACR	ACR	ENSG00000283539	ACR	ACR	gene	0	0
ACRBP	ACRBP	ENSG00000111644	ACRBP	ACRBP	gene	0	0
ACRC	ACRC	ENSG00000147174	ACRC	ACRC	gene	0	0
ACRV1	ACRV1	ENSG00000134940	ACRV1	ACRV1	gene	0	0
ACSBG1	ACSBG1	ENSG00000103740	ACSBG1	ACSBG1	gene	0	0
ACSBG2	ACSBG2	ENSG00000130377	ACSBG2	ACSBG2	gene	0	0
ACSF2	ACSF2	ENSG00000167107	ACSF2	ACSF2	gene	0	0
ACSF3	ACSF3	ENSG00000176715	ACSF3	ACSF3	gene	0	0
ACSL1	ACSL1	ENSG00000151726	ACSL1	ACSL1	gene	0	0
ACSL3	ACSL3	ENSG00000123983	ACSL3	ACSL3	gene	0	0
ACSL4	ACSL4	ENSG00000068366	ACSL4	ACSL4	gene	0	0
ACSL5	ACSL5	ENSG00000197142	ACSL5	ACSL5	gene	0	0
ACSL6	ACSL6	ENSG00000164398	ACSL6	ACSL6	gene	0	0
ACSM1	ACSM1	ENSG00000166743	ACSM1	ACSM1	gene	0	0
ACSM2A	ACSM2A	ENSG00000183747	ACSM2A	ACSM2A	gene	0	0
ACSM2B	ACSM2B	ENSG00000066813	ACSM2B	ACSM2B	gene	0	0
ACSM3	ACSM3	ENSG00000005187	ACSM3	ACSM3	gene	0	0
ACSM4	ACSM4	ENSG00000215009	ACSM4	ACSM4	gene	0	0
ACSM5	ACSM5	ENSG00000183549	ACSM5	ACSM5	gene	0	0
ACSS1	ACSS1	ENSG00000154930	ACSS1	ACSS1	gene	0	0
ACSS2	ACSS2	ENSG00000131069	ACSS2	ACSS2	gene	0	0
ACSS3	ACSS3	ENSG00000111058	ACSS3	ACSS3	gene	0	0
ACTA1	ACTA1	ENSG00000143632	ACTA1	ACTA1	gene	0	0
ACTA2	ACTA2	ENSG00000107796	ACTA2	ACTA2	gene	0	0
ACTB	ACTB	ENSG00000075624	ACTB	ACTB	gene	0	0
ACTBL2	ACTBL2	ENSG00000169067	ACTBL2	ACTBL2	gene	0	0
ACTC1	ACTC1	ENSG00000159251	ACTC1	ACTC1	gene	0	0
ACTG1	ACTG1	ENSG00000184009	ACTG1	ACTG1	gene	0	0
ACTG2	ACTG2	ENSG00000163017	ACTG2	ACTG2	gene	0	0
ACTL10	ACTL10	ENSG00000182584	ACTL10	ACTL10	gene	0	0
ACTL6A	ACTL6A	ENSG00000136518	ACTL6A	ACTL6A	gene	0	0
ACTL6B	ACTL6B	ENSG00000077080	ACTL6B	ACTL6B	gene	0	0
ACTL7A	ACTL7A	ENSG00000187003	ACTL7A	ACTL7A	gene	0	0
ACTL7B	ACTL7B	ENSG00000148156	ACTL7B	ACTL7B	gene	0	0
ACTL8	ACTL8	ENSG00000117148	ACTL8	ACTL8	gene	0	0
ACTL9	ACTL9	ENSG00000181786	ACTL9	ACTL9	gene	0	0
ACTN1	ACTN1	ENSG00000072110	ACTN1	ACTN1	gene	0	0
ACTN2	ACTN2	ENSG00000077522	ACTN2	ACTN2	gene	0	0
ACTN4	ACTN4	ENSG00000282844	ACTN4	ACTN4	gene	0	0
ACTR10	ACTR10	ENSG00000131966	ACTR10	ACTR10	gene	0	0
ACTR1A	ACTR1A	ENSG00000138107	ACTR1A	ACTR1A	gene	0	0
ACTR1B	ACTR1B	ENSG00000115073	ACTR1B	ACTR1B	gene	0	0
ACTR2	ACTR2	ENSG00000138071	ACTR2	ACTR2	gene	0	0
ACTR3	ACTR3	ENSG00000115091	ACTR3	ACTR3	gene	0	0
ACTR3B	ACTR3B	ENSG00000133627	ACTR3B	ACTR3B	gene	0	0
ACTR3C	ACTR3C	ENSG00000106526	ACTR3C	ACTR3C	gene	0	0
ACTR5	ACTR5	ENSG00000101442	ACTR5	ACTR5	gene	0	0
ACTR6	ACTR6	ENSG00000075089	ACTR6	ACTR6	gene	0	0
ACTR8	ACTR8	ENSG00000113812	ACTR8	ACTR8	gene	0	0
ACTRT1	ACTRT1	ENSG00000123165	ACTRT1	ACTRT1	gene	0	0
ACTRT2	ACTRT2	ENSG00000169717	ACTRT2	ACTRT2	gene	0	0
ACVR1	ACVR1	ENSG00000115170	ACVR1	ACVR1	gene	0	0
ACVR1B	ACVR1B	ENSG00000135503	ACVR1B	ACVR1B	gene	0	0
ACVR1C	ACVR1C	ENSG00000123612	ACVR1C	ACVR1C	gene	0	0
ACVR2A	ACVR2A	ENSG00000121989	ACVR2A	ACVR2A	gene	0	0
ACVR2B	ACVR2B	ENSG00000114739	ACVR2B	ACVR2B	gene	0	0
ACVRL1	ACVRL1	ENSG00000139567	ACVRL1	ACVRL1	gene	0	0
ACY1	ACY1	ENSG00000243989	ACY1	ACY1	gene	0	0
ACY3	ACY3	ENSG00000132744	ACY3	ACY3	gene	0	0
ACYP1	ACYP1	ENSG00000119640	ACYP1	ACYP1	gene	0	0
ACYP2	ACYP2	ENSG00000170634	ACYP2	ACYP2	gene	0	0
ADA	ADA	ENSG00000196839	ADA	ADA	gene	0	0
ADAD1	ADAD1	ENSG00000164113	ADAD1	ADAD1	gene	0	0
ADAD2	ADAD2	ENSG00000140955	ADAD2	ADAD2	gene	0	0
ADAL	ADAL	ENSG00000168803	ADAL	ADAL	gene	0	0
ADAM1	ADAM1	unmapped-none	ADAM1	ADAM1	gene	0	0
ADAM10	ADAM10	ENSG00000137845	ADAM10	ADAM10	gene	0	0
ADAM11	ADAM11	ENSG00000073670	ADAM11	ADAM11	gene	0	0
ADAM12	ADAM12	ENSG00000148848	ADAM12	ADAM12	gene	0	0
ADAM15	ADAM15	ENSG00000143537	ADAM15	ADAM15	gene	0	0
ADAM17	ADAM17	ENSG00000151694	ADAM17	ADAM17	gene	0	0
ADAM18	ADAM18	ENSG00000278548	ADAM18	ADAM18	gene	0	0
ADAM19	ADAM19	ENSG00000135074	ADAM19	ADAM19	gene	0	0
ADAM2	ADAM2	ENSG00000276286	ADAM2	ADAM2	gene	0	0
ADAM20	ADAM20	ENSG00000134007	ADAM20	ADAM20	gene	0	0
ADAM21	ADAM21	ENSG00000139985	ADAM21	ADAM21	gene	0	0
ADAM22	ADAM22	ENSG00000008277	ADAM22	ADAM22	gene	0	0
ADAM23	ADAM23	ENSG00000114948	ADAM23	ADAM23	gene	0	0
ADAM28	ADAM28	ENSG00000042980	ADAM28	ADAM28	gene	0	0
ADAM29	ADAM29	ENSG00000168594	ADAM29	ADAM29	gene	0	0
ADAM30	ADAM30	ENSG00000134249	ADAM30	ADAM30	gene	0	0
ADAM32	ADAM32	ENSG00000275594	ADAM32	ADAM32	gene	0	0
ADAM33	ADAM33	ENSG00000149451	ADAM33	ADAM33	gene	0	0
ADAM5P	ADAM5P	ENSG00000282250	ADAM5P	ADAM5P	gene	0	0
ADAM6	ADAM6	ENSG00000282626	ADAM6	ADAM6	gene	0	0
ADAM7	ADAM7	ENSG00000069206	ADAM7	ADAM7	gene	0	0
ADAM8	ADAM8	ENSG00000151651	ADAM8	ADAM8	gene	0	0
ADAM9	ADAM9	ENSG00000282230	ADAM9	ADAM9	gene	0	0
ADAMDEC1	ADAMDEC1	ENSG00000134028	ADAMDEC1	ADAMDEC1	gene	0	0
ADAMTS1	ADAMTS1	ENSG00000154734	ADAMTS1	ADAMTS1	gene	0	0
ADAMTS10	ADAMTS10	ENSG00000142303	ADAMTS10	ADAMTS10	gene	0	0
ADAMTS12	ADAMTS12	ENSG00000281690	ADAMTS12	ADAMTS12	gene	0	0
ADAMTS13	ADAMTS13	ENSG00000160323	ADAMTS13	ADAMTS13	gene	0	0
ADAMTS14	ADAMTS14	ENSG00000138316	ADAMTS14	ADAMTS14	gene	0	0
ADAMTS15	ADAMTS15	ENSG00000166106	ADAMTS15	ADAMTS15	gene	0	0
ADAMTS16	ADAMTS16	ENSG00000145536	ADAMTS16	ADAMTS16	gene	0	0
ADAMTS17	ADAMTS17	ENSG00000140470	ADAMTS17	ADAMTS17	gene	0	0
ADAMTS18	ADAMTS18	ENSG00000140873	ADAMTS18	ADAMTS18	gene	0	0
ADAMTS19	ADAMTS19	ENSG00000145808	ADAMTS19	ADAMTS19	gene	0	0
ADAMTS2	ADAMTS2	ENSG00000283802	ADAMTS2	ADAMTS2	gene	0	0
ADAMTS20	ADAMTS20	ENSG00000173157	ADAMTS20	ADAMTS20	gene	0	0
ADAMTS3	ADAMTS3	ENSG00000156140	ADAMTS3	ADAMTS3	gene	0	0
ADAMTS4	ADAMTS4	ENSG00000158859	ADAMTS4	ADAMTS4	gene	0	0
ADAMTS5	ADAMTS5	ENSG00000154736	ADAMTS5	ADAMTS5	gene	0	0
ADAMTS6	ADAMTS6	ENSG00000049192	ADAMTS6	ADAMTS6	gene	0	0
ADAMTS7	ADAMTS7	ENSG00000136378	ADAMTS7	ADAMTS7	gene	0	0
ADAMTS8	ADAMTS8	ENSG00000134917	ADAMTS8	ADAMTS8	gene	0	0
ADAMTS9	ADAMTS9	ENSG00000163638	ADAMTS9	ADAMTS9	gene	0	0
ADAMTS9-AS2	ADAMTS9-AS2	ENSG00000241684	ADAMTS9-AS2	ADAMTS9-AS2	gene	0	0
ADAMTSL1	ADAMTSL1	ENSG00000178031	ADAMTSL1	ADAMTSL1	gene	0	0
ADAMTSL2	ADAMTSL2	ENSG00000197859	ADAMTSL2	ADAMTSL2	gene	0	0
ADAMTSL3	ADAMTSL3	ENSG00000156218	ADAMTSL3	ADAMTSL3	gene	0	0
ADAMTSL4	ADAMTSL4	ENSG00000143382	ADAMTSL4	ADAMTSL4	gene	0	0
ADAMTSL5	ADAMTSL5	ENSG00000185761	ADAMTSL5	ADAMTSL5	gene	0	0
ADAP1	ADAP1	ENSG00000105963	ADAP1	ADAP1	gene	0	0
ADAP2	ADAP2	ENSG00000184060	ADAP2	ADAP2	gene	0	0
ADAR	ADAR	ENSG00000160710	ADAR	ADAR	gene	0	0
ADARB1	ADARB1	ENSG00000197381	ADARB1	ADARB1	gene	0	0
ADARB2	ADARB2	ENSG00000185736	ADARB2	ADARB2	gene	0	0
ADARB2-AS1	ADARB2-AS1	ENSG00000205696	ADARB2-AS1	ADARB2-AS1	gene	0	0
ADAT1	ADAT1	ENSG00000065457	ADAT1	ADAT1	gene	0	0
ADAT2	ADAT2	ENSG00000189007	ADAT2	ADAT2	gene	0	0
ADAT3	ADAT3	ENSG00000213638	ADAT3	ADAT3	gene	0	0
ADC	ADC	unmapped-none	ADC	ADC	gene	0	0
ADCK1	ADCK1	ENSG00000063761	ADCK1	ADCK1	gene	0	0
ADCK2	ADCK2	ENSG00000133597	ADCK2	ADCK2	gene	0	0
ADCK3	ADCK3	unmapped-none	ADCK3	ADCK3	gene	0	0
ADCK4	ADCK4	ENSG00000123815	ADCK4	ADCK4	gene	0	0
ADCK5	ADCK5	ENSG00000173137	ADCK5	ADCK5	gene	0	0
ADCY1	ADCY1	ENSG00000164742	ADCY1	ADCY1	gene	0	0
ADCY10	ADCY10	ENSG00000143199	ADCY10	ADCY10	gene	0	0
ADCY2	ADCY2	ENSG00000078295	ADCY2	ADCY2	gene	0	0
ADCY3	ADCY3	ENSG00000138031	ADCY3	ADCY3	gene	0	0
ADCY4	ADCY4	ENSG00000129467	ADCY4	ADCY4	gene	0	0
ADCY5	ADCY5	ENSG00000173175	ADCY5	ADCY5	gene	0	0
ADCY6	ADCY6	ENSG00000174233	ADCY6	ADCY6	gene	0	0
ADCY7	ADCY7	ENSG00000121281	ADCY7	ADCY7	gene	0	0
ADCY8	ADCY8	ENSG00000155897	ADCY8	ADCY8	gene	0	0
ADCY9	ADCY9	ENSG00000162104	ADCY9	ADCY9	gene	0	0
