EX102193_RNA_L8_V1N	EX140477_RNA_L2_V1N	EX150743_RNA_L8_V1N	EX157833_RNA_L8_V1N	EX161328_RNA_L6_V1N	EX169285_RNA_L3_V1N	EX170637_RNA_L2_V1N	EX171518_RNA_L4_V1N	EX172638_RNA_L2_V1N	EX173983_RNA_L2_V1N	EX175931_RNA_L1_V1N	EX176166_RNA_L1_V1N	EX176721_RNA_L7_V1N	EX176795_RNA_L1_V1N	EX177230_RNA_L5_V1N	EX177867_RNA_L8_V1N	EX178108_RNA_L8_V1N	EX178643_RNA_L6_V1N	EX178682_RNA_L4_V1N	EX178815_RNA_L5_V1N	EX178996_RNA_L7_V1N	EX180745_RNA_L2_V1N	EX180995_RNA_L3_V1N	EX181583_RNA_L6_V1N	EX182339_RNA_L4_V1N	EX182678_RNA_L2_V1N	EX185376_RNA_L3_V1N	EX185863_RNA_L6_V1N	EX187488_RNA_L6_V1N	EX142848_RNA_L4_V1N	EX149585_RNA_L7_V1N	EX170045_RNA_L1_V1N	EX171517_RNA_L2_V1N	EX171721_RNA_L3_V1N	EX172587_RNA_L8_V1N	EX172588_RNA_L2_V1N	EX177582_RNA_L6_V1N	EX180922_RNA_L8_V1N	EX183838_RNA_L3_V1N	EX184151_RNA_L1_V1N	EX185255_RNA_L3_V1N	EX186006_RNA_L8_V1N	EX186192_RNA_L7_V1N	EX186931_RNA_L7_V1N	EX187890_RNA_L6_V1N	EX189608_RNA_L7_V1N
TAL1	3.61166244677285	3.76449986162489	3.81779114501016	3.92252446403489	3.87333360490577	3.74652929235901	3.90899987927425	3.79874550346554	4.08806101202511	3.82602136654949	3.4944445118853	3.76156877380755	3.83601533940798	3.65579966209374	3.9819275181802	3.85391050739862	3.97106137781043	3.67783366436891	3.69751636891328	3.9579528538678	3.91246388501705	3.68517200425576	3.55457522667855	3.61210106759256	3.88824129597455	3.55734689180597	3.87217136144456	3.76130792658132	3.99062939660123	3.85554905825777	3.8461431384538	3.61946763793336	3.89901256075457	3.57305391293224	3.84806365179797	3.75174013553517	3.82682668935223	3.43780999391678	3.73037487745927	3.75896293769268	3.62529564769919	3.52993405987783	3.65767655671545	3.58745662280636	3.72599127905743	3.71007034504387
TOX4	4.07196171762781	4.10425772965525	4.0841634462379	4.03425079210772	4.05957220043027	4.06686737567229	4.05837015436201	4.0144126678001	4.07945708526683	4.1009649516163	4.12699352887597	4.05627614557079	4.03365814562973	4.04999163418425	4.02805603480066	4.05802983313763	4.12378804648548	4.05313001645831	4.02468368626334	4.0566044680139	4.09103752140904	4.03465607340509	4.02106897133019	4.05667440965586	4.03743492694272	4.08062734681973	4.08144592471209	4.07323998195667	4.06757870913281	4.04164521751203	4.07893981319099	3.99312162769629	4.11137276849707	4.03415679161265	4.08014484316988	4.06792760363505	4.09079875584498	4.02422161311789	4.07588025559872	4.08405392404757	4.05799276162915	4.03664665024038	4.03381655312214	4.08290209394166	4.08625872201167	4.01845251557631
ZNF567	3.856851636376	3.82424167147924	3.79379577143397	3.82386237983031	3.83414331962406	3.85846860413359	3.8738833503077	3.81658730421904	3.82015682430697	3.72314551030641	3.80027319776801	3.8427316767573	3.78257862264746	3.8946870961622	3.87279750293742	3.89105101367757	3.75896293769268	3.68735445252153	3.81868621137403	3.7854448425739	3.7884075244659	3.9282534787513	3.85433854770497	3.88977658189364	3.85170373953092	3.90577557827459	3.79505395551706	3.86608991367792	3.84078401863362	3.81247172581144	3.83161708725829	3.86693041617795	3.79647924615232	3.93310957450684	3.8089194692472	3.87943547468826	3.84644931755788	3.86504826536514	3.8927477444569	3.78886380940494	3.82452196488412	3.88326278438939	3.82414502191292	3.86616811050507	3.78967117750673	3.86351826693272
ZNF606	3.88496911012072	3.85340354870558	3.86878563780109	3.79793313715738	3.89774922425052	3.89429134041082	3.87537976423102	3.83999806371364	3.74874848824644	3.83913960662275	3.91530601334456	3.84040642803134	3.91383080286499	3.90762719102687	3.84778055861325	3.90673850839531	3.88053377347976	3.82173524353594	3.85170373953092	3.83623258039242	3.94931747232481	3.89170860570061	3.90196337587848	3.90769565917364	3.86082072879178	3.91949914763089	3.90314405223433	3.87089605050708	3.86990849618655	3.84417835254207	3.85689287899161	3.91460296563846	3.80070149244549	3.97893353232787	3.87921081523254	3.86328918353225	3.78875082427657	3.82138938449004	3.92159997191193	3.85429891479387	3.80259963379639	3.93921079912891	3.90838420975007	3.9364410088306	3.89159112387806	3.8508158911334
ZNF624	3.61469150587255	3.73060735759595	3.72029916775862	3.70522393280245	3.63922755275444	3.66286225318451	3.64841045297906	3.72824949860661	3.77792560176569	3.6133985916387	3.70718689521299	3.72629863885396	3.68825035009522	3.64490351371277	3.58592892942614	3.69076706419656	3.69648369087278	3.6460312876862	3.66846605044675	3.66992913715449	3.70609486269553	3.74033083019182	3.71457486499048	3.6834055425167	3.6860897473805	3.6433047281275	3.72488468692128	3.71886208090569	3.79793313715738	3.74796127541781	3.72283535849093	3.69190031119128	3.73397283435038	3.67334918314903	3.73553206329794	3.54963434110982	3.72488468692128	3.6874415371118	3.6780118680254	3.60626934938731	3.71170030471001	3.63118580723657	3.58180914507903	3.6445025205462	3.53868696299669	3.69076706419656
POU4F3	2.8433318776926	2.89962817064291	2.1651385439004	2.73905411236089	2.41060830493011	2.74148216983712	2.27198148172764	2.26525232429922	2.83686501856096	2.53930972661414	3.12519161029397	2.68741656716634	1.77616977683678	3.05020898802894	2.73425608700094	2.88973312231748	1.92834222122532	2.21889810099383	2.24107222234982	2.21889810099383	2.44404481124181	2.79805966480621	3.19986421153856	3.03563287710816	2.77985857362481	2.48709425244051	2.29957237761139	2.54872259523012	2.74148216983712	2.1908599689179	1.66084536774205	2.92732597952718	3.0226411608842	3.14022399928358	2.81048653664129	2.43807507177198	3.1808365008934	2.83915042558789	1.73573091800088	1.88173357223141	2.88771039406961	2.91207128508732	2.28760849866427	2.68741656716634	2.9616029165079	2.70251583740688
RBAK	3.93603228275014	3.91430218362667	3.86967278688333	3.85073280503392	3.93473094589814	3.87833564820952	3.90193041893491	3.9137639220254	3.90055713052256	3.89809943169479	3.93035076942289	3.83213241415336	3.90934182888885	3.92249228477813	3.85917282816114	3.91144914080576	3.96092421864385	3.85353460281822	3.87658893208381	3.82548988872576	3.92143529477341	3.94340747344447	3.94847701988747	3.92091312407315	3.84067671448137	4.00082912974948	3.89873377082604	3.90332084334813	3.85362398061887	3.87373365485803	3.89324896796251	3.90048872153971	3.87441949205833	3.92229390708573	3.90872472967552	3.94477769197145	3.84005132617499	3.94508452557306	3.9340619418876	3.91255844466191	3.92471036772575	3.93314478496444	3.870852937892	3.95959023528543	3.89852365229028	3.88711567290894
ZNF518A	3.93498486655544	3.98476503121336	3.95329419125743	3.98039590037291	3.95956094879908	3.84335819511892	4.00637999771216	3.9315058505149	3.97771015783991	3.9627856456662	3.99984519800122	3.95027570668132	3.96394799199455	4.0118361933735	3.98565858545885	4.03308592763305	3.94089031703779	3.89883576024911	3.9450226916912	3.92803193188251	3.98108253969453	4.02505148831367	3.9724410651991	3.96843295200048	4.0025275497414	3.96124468245808	3.9544644041128	3.94555795003743	3.96572211318431	3.93587030547292	3.9406048321389	3.98386077412258	3.9626033648626	3.98644347935445	3.902690316943	3.97932309293795	3.9763612235703	3.91423564357537	4.00058089149692	3.86041156270138	3.92523240539097	3.94384220320057	3.9889357356691	3.92146922391634	3.90343267727622	3.94971349296923
ZNF674	3.79862629954774	3.72970872393835	3.71194445537521	3.62276508179125	3.79261419353844	3.75148052255192	3.67582074330855	3.71415593336057	3.68399113941074	3.61479983403422	3.50615905876798	3.66454928165422	3.81427024815711	3.84601947716616	3.63527598892124	3.74289586358652	3.74561515159516	3.49375233117471	3.71039532634363	3.61633477297384	3.74220169207352	3.65629771310032	3.81381726363074	3.68080523993245	3.66965805971464	3.68044634156806	3.71015381686156	3.7278587489045	3.76463670834621	3.64421635483418	3.6752616647782	3.63496588657173	3.52865116220581	3.71666461600061	3.70505866499388	3.77372618175025	3.65362106350106	3.74317237207241	3.7176541709858	3.74624421033634	3.63569579241134	3.7135899990682	3.68799617242593	3.69224557949686	3.76222196485367	3.69206757838418
MXD4	4.12348770478585	4.15313973598963	4.1437763134471	4.18532073855714	4.12374160823773	4.17381208522677	4.1723386432551	4.11177895046162	4.17920928238958	4.13272545974724	4.19642218309418	4.13119038674509	4.16480654715845	4.16138364516402	4.13782859697583	4.21416818458172	4.12915089036694	4.11150803789759	4.17256335949593	4.18176568977545	4.08518856202205	4.19176845653892	4.17566044682699	4.1361103904379	4.15862009977506	4.16916081992939	4.15233772310355	4.14483765130805	4.16786950317876	4.18077864391305	4.18665675856262	4.14032874440822	4.11451929046267	4.20191306197445	4.13488326209491	4.12247775804721	4.13451775301458	4.13214695577127	4.1810190572535	4.15016537930916	4.12369158110852	4.28883855439511	4.15301006325038	4.14858544717895	4.19901460871591	4.17544396336105
NKX6-1	3.15530806025008	3.3258345629363	3.60027402234786	3.32353250348682	2.84673004395103	3.54095189520525	3.1626421519089	3.5485473532098	3.358649013181	3.18660705959714	3.55651264324779	3.13382635488414	3.28154323268167	3.63433467529086	3.58215105177588	3.5641797249588	3.57035205225116	3.46520613085127	3.00671432741472	3.61892377245023	3.23480018713774	3.29379265956461	3.64890991652409	3.63862081282462	3.25016095906893	2.36823047078077	2.80376504750671	3.28355978107694	3.28409029131576	3.00071268714957	3.31413917233772	3.03563287710816	3.46247711724048	3.36580236902349	3.36141660110174	3.36346000626207	3.48130159492587	3.37243607157005	3.19542023477146	3.02957662501912	3.36200536085272	3.70641553957618	2.38271630879862	3.47850710256237	3.56998953524011	2.74148216983712
ZNF555	3.74324107073049	3.71757183672885	3.67675507164277	3.66385234580116	3.75579226940729	3.80648828428088	3.65935154642698	3.73082746441726	3.75066816608316	3.64821932990004	3.72237081220025	3.70684423548186	3.74796127541781	3.79608946044652	3.60204394964478	3.76869005771254	3.87712656348858	3.74674647028352	3.66415349614095	3.63734687284701	3.69242613035214	3.67885203583615	3.75333627723879	3.62746598103014	3.65025383933963	3.73060735759595	3.71666461600061	3.71556493427192	3.71457486499048	3.7152457572955	3.75135063045895	3.73427597266628	3.78886380940494	3.70327846304256	3.63830619260556	3.7209355577357	3.56859834741507	3.79215446734385	3.75686001158853	3.72418438968575	3.65332322484485	3.66015529285875	3.76625977162426	3.62906957996816	3.7345012767678	3.63892394565726
ARID4A	3.87198596453796	3.89335948517445	3.87596584713209	3.90003783029341	3.84183468428794	3.91319417725863	3.86688761058653	3.87716304712901	3.90343267727622	3.88977658189364	3.89511724647769	3.92428772276077	3.7958139743243	3.89533016966174	3.90810954859589	3.91580569429483	3.81030522589452	3.87046494902894	3.90697773887437	3.90306794814697	3.93079958307141	3.8972845730136	3.85621229067055	3.86516897232167	3.89629447161911	3.8821402928784	3.91916388810573	3.90321442389872	3.94950178856194	3.90701073853737	3.88247876956764	3.89511724647769	3.86471797553434	3.93124595058927	3.85629467541198	3.87392149069977	3.9234762532395	3.8818874685417	3.8729124276109	3.84819758009411	3.89724429450978	3.98578472005173	3.83512542245794	3.86011770718227	3.8691338306743	3.88622595986033
BACH1	3.94564822560136	3.99882685977905	3.93006520819988	3.95575635876916	3.88940939189378	3.98013227421271	3.86716692400248	3.94221353902307	4.06207908518445	3.93248801823283	3.83958168770634	3.93025831612003	3.95654637754326	3.92159997191193	3.95181316679363	3.88603906758937	3.87002206165817	3.93450614311173	3.94707724247371	3.93336492469758	3.91995604702844	3.95537987855535	3.94405971664799	3.99309141593458	3.97947191407951	3.88452800172281	3.90629313971053	3.91806840864527	3.92038284105388	3.91503758627955	3.90714916926951	3.91704133277661	3.93943072184319	3.98208616508069	4.02054439300998	3.87592931443447	3.9978612149176	3.88865336802365	3.90105454247221	3.88244104559062	3.96266315094809	3.97593495752835	3.95745993750406	3.95609237261603	3.98292923239089	3.9595313563467
CEBPD	3.89217664464161	4.01468635225164	4.04500079325187	4.12348770478585	4.07515558857436	3.98217582871689	4.0155449228385	4.10973518443008	4.15477687245207	4.07814178030577	3.93524074478628	3.97997664914516	3.93339978690364	4.00977572278202	4.12051382353216	3.94252371172165	3.96672312520777	4.08952243594473	4.05574588903344	4.10345087909271	4.03388212821658	3.95731401533122	3.92673839331061	4.31777622029174	4.06901678213044	4.03727658070088	4.04972953746635	4.02799174958333	4.14250193208304	4.14322897580325	3.94742140502865	4.07243119675619	4.05319775747461	4.07122635060915	4.01150312664539	4.02285740567822	4.16171033064666	3.97271136637272	3.86787534604358	4.03346444615666	4.00609715013851	4.0331477124966	4.14489455075076	3.96672312520777	4.02067137731844	3.98413032050839
NR2E1	3.26872548841817	3.25909744654751	2.06765833801397	2.93807648127064	2.42503971706133	2.92642682862617	2.31724349734538	1.86927759781016	3.18040567417862	2.8794559124029	2.43365572749065	1.94858832963016	2.78450840648961	2.38530517789124	2.50233083393235	2.17841167049205	3.28730653731307	2.46588089858397	3.06400217646823	2.02569510509405	3.09793642064118	2.56407023165468	3.01792879747302	2.04013153848135	2.0028717465927	2.52441351349182	2.17413209757947	3.15530806025008	2.74718073720998	2.57818549826706	3.09732111719066	2.95887939586443	3.34702272340399	2.99495927251149	2.73905411236089	2.65508178945373	3.06867839261805	3.14022399928358	2.48709425244051	2.92642682862617	3.06534350790062	3.34433142622211	2.42719740688191	2.04013153848135	2.7664204438547	2.14153995904754
TET1	3.48528768952754	3.67070017684616	3.41565491758055	3.42380762205305	3.71391100315023	3.39833937755349	3.29903188694305	3.4079152033527	3.691464167834	3.56234992429328	3.65530466339271	3.51833992750012	3.58064209411529	3.59674867333005	3.46609805143474	3.55591104336724	3.4506709742659	3.46566440516294	3.56800014276153	3.40076109560581	3.61557706981576	3.68681365853508	3.64185469615862	3.56824157630368	3.5460446087065	3.5024356221967	3.54756757303145	3.59812614195536	3.52954011265954	3.37530031905073	3.5193915149041	3.58944262085265	3.67364460535114	3.63655080649123	3.52289854896829	3.69330716926641	2.24802056822104	3.52264258338915	3.60494024228539	3.56284705511272	3.49750910136049	3.75490726673641	3.65205317045821	3.41696583011068	3.57011832608578	3.53081992758137
TOX3	3.66305099205126	3.63734687284701	3.9154735801522	3.46392846641247	3.68526475316226	4.07047376455781	3.40721653539727	3.87677935538535	3.59833895499128	3.62370715973281	3.74337786371437	3.2615549226416	3.69613976449786	3.63305462966336	3.89713849905539	3.53957563018665	3.84131660097497	3.5217195806397	3.55639398014335	3.62560515498618	3.7151594584128	3.8496576006335	3.79026813730925	3.72321832054	3.66130155781893	3.86832059578284	3.6124235975657	3.78432782026184	3.01717847490604	3.67572836245718	3.66896892339407	3.84933024013248	3.30526971857283	3.9434998998139	3.68790543675906	3.2615549226416	3.08249367087233	3.89767527613863	3.65530466339271	3.92487379406869	3.37754218858484	3.83444312050315	3.96029483770151	3.69233914647901	3.9897005765773	2.91020613351121
ZBTB26	3.7135899990682	3.85136736629303	3.7729870426783	3.82102787341024	3.64951044003217	3.79901669116033	3.75849561738425	3.65896887329952	3.66926470697853	3.63754962254893	3.79049237799451	3.84470729264175	3.12519161029397	3.81562405721477	3.82328981004789	3.73787206001052	3.5172997057552	3.67981705581063	3.75251235879492	3.74638611947577	3.57667533626005	3.81858025802735	3.86573313824133	3.91359615948208	3.76600745397324	3.89242530870065	3.38053460821877	3.72228884025707	3.83259210758227	3.77692431720131	3.61274166721428	3.81110726121502	3.65176219747444	3.91029434063797	3.76313451950617	3.8792479839573	3.71853069965123	3.82673173132766	3.39138923556984	3.55603467638588	3.81832313431129	3.91510331988613	3.70076680372643	3.7985189305429	3.85908347333985	3.78030993377393
ZNF224	3.68562142280378	3.73375127283265	3.62497717029607	3.78084794699482	3.60812551592774	3.83314932050736	3.80011247198571	3.61784579807559	3.66609059511886	3.45517013881163	3.74963261149744	3.75154548852804	3.06867839261805	3.8398893227016	3.80972972354473	3.77951413974691	3.30078152876377	3.71136353689812	3.73721616308783	3.70199211263065	3.162066822062	3.74366835282514	3.86862404208068	3.80717649478363	3.82414502191292	3.75300265770529	3.36697297312477	3.73655269967802	3.83498502522968	3.70405667494035	3.64361122994684	3.83175433647415	3.60593621586349	3.81627829551646	3.56474893512948	3.81909624089837	3.38909687354904	3.75971635682977	3.4085961098595	3.50457714827447	3.77601753930159	3.81724188695027	3.68017428973678	3.72591744568387	3.64111032292138	3.79077823059632
ZNF396	3.75251235879492	3.75435539924538	3.58803262611955	3.5323690227261	3.68007721923486	3.56334529488325	3.54433850206711	3.48089142121269	3.55120087142009	3.73007999159831	3.86987069420457	3.57046898134604	3.63558958082508	3.65877233000801	3.53666962164679	3.55096913232007	3.07545012205411	3.71797324683454	3.55651264324779	3.57353805218732	3.49737667794966	3.61118762554295	3.69250958793035	3.66239618797417	3.54361472628821	3.70050654156192	3.55530555345822	3.49790308478308	3.67666204479585	3.64510272488415	3.50537198561413	3.78151421316894	3.74825765587398	3.69103336367139	3.69406819626272	3.61220686283922	3.48914885601749	3.54095189520525	3.63798800412225	3.62287087166348	3.62646190983845	3.63160671070252	3.61795640687946	3.68080523993245	3.68168559460084	3.54841708603382
ZNF425	3.80676646257309	3.5720176183682	3.61274166721428	3.4647784729341	3.76619413260192	3.77951413974691	3.50123386861851	3.7054848243251	3.71128437179694	3.67174935647331	3.64205708044316	3.62550227011042	3.73150961527456	3.70259368432824	3.51368818043289	3.70710582052788	3.71603054884303	3.62646190983845	3.58180914507903	3.59812614195536	3.62950010601589	3.8654991520999	3.80483156445049	3.6250865120473	3.57460019899492	3.72109072833576	3.6118870639359	3.54653199306961	3.63244270787062	3.57414976210036	3.55063075153376	3.76600745397324	3.75195931982411	3.58192115906602	3.6634583477599	3.61296843071195	3.51601910633857	3.79198878095212	3.72237081220025	3.62906957996816	3.81536769420404	3.74227063522154	3.84105115635636	3.74782284113317	3.75600004359128	3.60855648034836
BBX	3.83838987259927	3.99237237266095	4.00259040493892	3.97532755402546	3.9836474490364	4.02745672316897	3.92599188567525	3.94008759097078	3.91743861805735	3.87302429645633	4.01726137384008	4.01297813859023	3.95914288016373	3.93498486655544	4.01285848602681	3.96690021214168	3.98318796700076	3.94415023597251	3.94192704221794	3.9781821290687	3.89483115708105	3.97164133846095	3.99162656953149	3.96394799199455	3.98186778388553	3.95040246244246	3.94608186489935	3.93549259552296	3.96997300516201	3.95965017140057	3.92467875998011	3.99104488139599	3.90265750007342	3.95215115894956	3.96616932879208	4.08881635075884	3.86902089224889	3.97593495752835	3.89449981095153	3.92533004955431	4.00113561297388	4.04015302757719	4.05119207582266	3.96481584068228	3.98424789139106	3.96855478355611
